ID Producto,ID Tienda,Fecha de Venta,Cantidad Vendida,Precio Unitario,Categoría de Producto,Ubicación de Tienda,Promoción o Descuento,Estacionalidad,Método de Pago,Nivel de Inventario
Producto_31,Tienda_4,2022-08-15,67,5.58,Ropa,Zona Este,0,1,Crédito,100
Producto_36,Tienda_5,2022-02-19,51,494.35,Deportes,Zona Sur,1,1,Tarjeta,300
Producto_36,Tienda_2,2022-05-23,83,38.75,Alimentos,Zona Sur,0,1,Efectivo,5
Producto_32,Tienda_7,2023-07-18,57,416.93,Electrónica,Zona Norte,1,1,Crédito,100
Producto_35,Tienda_7,2023-08-10,79,497.73,Electrónica,Zona Este,0,0,Efectivo,200
Producto_41,Tienda_5,2023-06-23,55,412.79,Deportes,Zona Oeste,0,1,Efectivo,300
Producto_15,Tienda_4,2023-11-06,69,179.7,Hogar,Zona Norte,1,0,Crédito,50
Producto_21,Tienda_8,2023-05-13,62,483.37,Ropa,Zona Sur,1,0,Tarjeta,200
Producto_26,Tienda_4,2022-10-28,63,220.96,Hogar,Zona Norte,1,0,Efectivo,300
Producto_14,Tienda_2,2023-04-06,5,405.47,Ropa,Zona Este,1,0,Crédito,200
Producto_18,Tienda_10,2022-04-11,2,177.65,Alimentos,Zona Sur,0,0,Tarjeta,200
Producto_17,Tienda_4,2023-04-03,22,471.28,Ropa,Zona Este,0,1,Tarjeta,200
Producto_26,Tienda_3,2022-02-13,34,265.0,Deportes,Zona Norte,1,0,Crédito,20
Producto_34,Tienda_9,2022-07-13,64,477.66,Deportes,Zona Oeste,0,1,Efectivo,100
Producto_18,Tienda_6,2022-04-03,87,153.84,Electrónica,Zona Oeste,0,0,Crédito,5
Producto_35,Tienda_8,2022-09-24,87,287.67,Deportes,Zona Este,1,1,Crédito,5
Producto_7,Tienda_5,2022-09-05,29,24.21,Electrónica,Zona Oeste,0,1,Tarjeta,20
Producto_46,Tienda_8,2022-03-16,70,493.4,Alimentos,Zona Sur,1,1,Crédito,5
Producto_24,Tienda_8,2022-07-15,92,128.8,Alimentos,Zona Oeste,0,1,Tarjeta,5
Producto_1,Tienda_9,2022-12-01,93,290.7,Juguetes,Zona Norte,0,1,Crédito,50
Producto_37,Tienda_2,2023-05-26,16,214.76,Electrónica,Zona Sur,0,0,Crédito,30
Producto_23,Tienda_1,2022-02-05,30,136.83,Deportes,Zona Oeste,0,0,Efectivo,50
Producto_46,Tienda_2,2022-07-27,67,227.88,Ropa,Zona Norte,1,1,Tarjeta,50
Producto_5,Tienda_2,2022-03-29,73,164.14,Deportes,Zona Oeste,0,1,Tarjeta,200
Producto_50,Tienda_5,2023-06-04,1,33.36,Hogar,Zona Este,0,0,Tarjeta,50
Producto_8,Tienda_6,2022-10-10,30,202.18,Electrónica,Zona Este,0,1,Efectivo,300
Producto_1,Tienda_2,2023-12-13,97,16.41,Alimentos,Zona Norte,1,1,Efectivo,100
Producto_32,Tienda_3,2022-07-13,48,44.22,Alimentos,Zona Oeste,1,1,Efectivo,200
Producto_31,Tienda_1,2023-02-12,66,128.16,Juguetes,Zona Sur,1,0,Efectivo,30
Producto_34,Tienda_2,2022-09-15,95,472.99,Ropa,Zona Oeste,0,0,Tarjeta,10
Producto_3,Tienda_3,2022-01-10,97,34.39,Electrónica,Zona Este,0,1,Efectivo,100
Producto_28,Tienda_8,2023-03-07,75,43.56,Deportes,Zona Oeste,1,1,Tarjeta,20
Producto_1,Tienda_7,2023-07-22,50,470.19,Alimentos,Zona Sur,1,1,Tarjeta,300
Producto_7,Tienda_3,2023-01-13,41,474.15,Juguetes,Zona Norte,0,1,Efectivo,50
Producto_27,Tienda_4,2023-06-14,65,67.75,Juguetes,Zona Norte,0,0,Efectivo,500
Producto_2,Tienda_2,2022-12-07,20,310.21,Alimentos,Zona Norte,1,1,Crédito,300
Producto_21,Tienda_10,2023-05-30,74,334.67,Deportes,Zona Oeste,0,1,Efectivo,50
Producto_7,Tienda_5,2022-11-03,65,267.23,Juguetes,Zona Sur,1,0,Efectivo,300
Producto_13,Tienda_9,2022-12-19,63,193.78,Electrónica,Zona Sur,1,0,Tarjeta,200
Producto_35,Tienda_3,2022-07-25,14,241.62,Hogar,Zona Sur,1,0,Efectivo,200
Producto_49,Tienda_3,2023-02-12,15,286.51,Deportes,Zona Norte,1,1,Crédito,30
Producto_34,Tienda_10,2023-10-04,1,45.23,Deportes,Zona Este,1,0,Tarjeta,50
Producto_43,Tienda_1,2022-10-28,9,40.69,Ropa,Zona Norte,0,0,Tarjeta,300
Producto_33,Tienda_9,2023-11-19,100,452.94,Hogar,Zona Norte,1,0,Tarjeta,20
Producto_22,Tienda_9,2022-09-25,59,85.04,Alimentos,Zona Oeste,0,0,Crédito,200
Producto_23,Tienda_3,2022-09-02,1,415.56,Hogar,Zona Sur,0,1,Crédito,50
Producto_31,Tienda_9,2023-03-09,38,276.75,Juguetes,Zona Sur,1,0,Efectivo,300
Producto_23,Tienda_3,2022-12-24,64,161.11,Electrónica,Zona Este,0,1,Tarjeta,500
Producto_41,Tienda_4,2022-07-29,49,186.32,Ropa,Zona Este,0,1,Tarjeta,300
Producto_10,Tienda_5,2022-03-24,31,64.06,Alimentos,Zona Oeste,0,1,Efectivo,10
Producto_50,Tienda_4,2022-02-02,69,44.21,Deportes,Zona Sur,1,0,Crédito,500
Producto_25,Tienda_2,2023-09-17,75,85.29,Deportes,Zona Oeste,0,1,Efectivo,30
Producto_48,Tienda_1,2023-11-24,64,413.11,Hogar,Zona Sur,0,1,Efectivo,10
Producto_14,Tienda_10,2023-10-25,89,131.98,Alimentos,Zona Este,1,1,Tarjeta,500
Producto_4,Tienda_7,2022-06-10,48,297.94,Electrónica,Zona Este,0,0,Efectivo,10
Producto_40,Tienda_5,2022-11-20,51,19.52,Ropa,Zona Norte,1,0,Tarjeta,500
Producto_22,Tienda_1,2022-05-15,27,433.75,Alimentos,Zona Norte,1,0,Efectivo,500
Producto_36,Tienda_9,2023-08-01,73,380.88,Electrónica,Zona Norte,1,0,Tarjeta,200
Producto_34,Tienda_5,2022-12-03,84,201.16,Juguetes,Zona Oeste,0,0,Efectivo,200
Producto_28,Tienda_7,2022-06-22,29,338.24,Juguetes,Zona Este,0,0,Efectivo,5
Producto_4,Tienda_2,2023-10-17,23,447.96,Electrónica,Zona Oeste,1,1,Tarjeta,30
Producto_38,Tienda_3,2022-03-22,56,438.33,Electrónica,Zona Este,0,0,Efectivo,500
Producto_24,Tienda_4,2023-10-01,81,406.61,Juguetes,Zona Sur,0,1,Tarjeta,30
Producto_48,Tienda_4,2022-07-04,78,143.03,Alimentos,Zona Sur,0,0,Efectivo,300
Producto_18,Tienda_1,2023-02-04,80,317.41,Ropa,Zona Norte,1,0,Crédito,10
Producto_13,Tienda_10,2023-06-25,25,232.84,Alimentos,Zona Este,0,0,Tarjeta,10
Producto_6,Tienda_7,2023-03-28,32,396.43,Deportes,Zona Sur,0,1,Tarjeta,30
Producto_21,Tienda_2,2023-02-05,69,333.64,Deportes,Zona Oeste,0,1,Crédito,5
Producto_45,Tienda_10,2022-04-06,93,55.9,Electrónica,Zona Este,0,1,Tarjeta,200
Producto_3,Tienda_1,2022-01-02,51,323.52,Hogar,Zona Norte,1,1,Tarjeta,10
Producto_37,Tienda_3,2023-10-22,100,158.17,Electrónica,Zona Oeste,1,1,Efectivo,20
Producto_32,Tienda_7,2023-03-05,26,287.01,Ropa,Zona Sur,1,0,Tarjeta,20
Producto_23,Tienda_4,2022-05-05,65,7.47,Hogar,Zona Sur,1,0,Crédito,10
Producto_24,Tienda_6,2023-05-19,34,364.97,Electrónica,Zona Norte,0,1,Efectivo,300
Producto_46,Tienda_5,2023-06-02,35,28.51,Juguetes,Zona Oeste,1,1,Efectivo,20
Producto_28,Tienda_2,2023-02-08,75,401.5,Electrónica,Zona Norte,1,1,Tarjeta,300
Producto_32,Tienda_4,2022-01-31,29,179.3,Ropa,Zona Oeste,0,1,Crédito,10
Producto_25,Tienda_6,2022-04-13,18,444.64,Juguetes,Zona Sur,1,1,Tarjeta,5
Producto_11,Tienda_1,2022-03-13,69,255.27,Hogar,Zona Oeste,1,0,Efectivo,500
Producto_38,Tienda_2,2022-12-06,9,40.59,Juguetes,Zona Oeste,1,1,Efectivo,50
Producto_47,Tienda_7,2022-01-10,34,345.58,Ropa,Zona Norte,0,1,Tarjeta,30
Producto_20,Tienda_3,2022-07-07,62,132.02,Juguetes,Zona Este,1,0,Crédito,100
Producto_25,Tienda_9,2022-09-17,86,243.74,Deportes,Zona Sur,0,0,Efectivo,100
Producto_24,Tienda_9,2022-10-17,17,62.38,Electrónica,Zona Este,1,0,Efectivo,100
Producto_34,Tienda_4,2022-01-09,36,352.63,Alimentos,Zona Sur,0,0,Tarjeta,100
Producto_14,Tienda_5,2022-01-09,77,460.4,Hogar,Zona Este,1,1,Efectivo,500
Producto_1,Tienda_8,2023-10-11,69,381.74,Juguetes,Zona Sur,1,0,Crédito,300
Producto_6,Tienda_6,2022-01-01,45,406.67,Juguetes,Zona Este,0,0,Efectivo,500
Producto_16,Tienda_5,2022-03-04,24,112.94,Juguetes,Zona Sur,0,0,Crédito,300
Producto_9,Tienda_4,2023-12-08,21,368.82,Hogar,Zona Este,0,0,Crédito,200
Producto_29,Tienda_10,2023-01-21,88,160.84,Juguetes,Zona Sur,0,1,Efectivo,10
Producto_35,Tienda_6,2023-01-03,45,253.68,Alimentos,Zona Oeste,0,0,Efectivo,5
Producto_47,Tienda_7,2022-11-20,28,445.88,Juguetes,Zona Sur,0,1,Tarjeta,10
Producto_10,Tienda_9,2023-11-14,53,219.3,Ropa,Zona Oeste,1,1,Crédito,5
Producto_2,Tienda_2,2022-04-25,27,80.67,Electrónica,Zona Sur,0,1,Tarjeta,5
Producto_42,Tienda_10,2022-05-10,58,398.99,Ropa,Zona Sur,0,0,Tarjeta,500
Producto_5,Tienda_5,2022-08-27,76,18.74,Electrónica,Zona Oeste,0,1,Efectivo,300
Producto_40,Tienda_4,2022-06-18,67,101.06,Juguetes,Zona Oeste,0,0,Tarjeta,10
Producto_30,Tienda_8,2022-03-10,79,191.21,Deportes,Zona Norte,0,1,Crédito,50
Producto_35,Tienda_10,2023-10-12,42,141.95,Alimentos,Zona Norte,1,0,Tarjeta,5
Producto_29,Tienda_2,2022-07-26,35,262.48,Alimentos,Zona Este,1,1,Crédito,100
Producto_45,Tienda_7,2022-10-13,56,395.7,Ropa,Zona Este,0,0,Tarjeta,100
Producto_17,Tienda_9,2022-04-05,48,127.18,Hogar,Zona Norte,1,0,Crédito,30
Producto_23,Tienda_9,2022-01-05,15,71.39,Ropa,Zona Oeste,0,1,Efectivo,100
Producto_13,Tienda_3,2023-07-27,71,302.51,Ropa,Zona Norte,1,1,Crédito,5
Producto_39,Tienda_1,2023-08-22,78,85.23,Electrónica,Zona Sur,1,1,Tarjeta,5
Producto_8,Tienda_1,2023-09-01,39,322.04,Electrónica,Zona Oeste,0,0,Crédito,5
Producto_36,Tienda_10,2022-01-18,37,332.18,Ropa,Zona Norte,1,1,Tarjeta,20
Producto_47,Tienda_8,2023-05-05,63,275.68,Electrónica,Zona Oeste,0,1,Crédito,500
Producto_33,Tienda_7,2022-06-20,18,322.09,Juguetes,Zona Oeste,1,1,Efectivo,30
Producto_8,Tienda_10,2023-01-09,100,202.51,Ropa,Zona Este,1,1,Crédito,10
Producto_33,Tienda_7,2022-11-02,41,254.36,Alimentos,Zona Norte,0,1,Crédito,300
Producto_9,Tienda_10,2022-10-11,39,191.26,Ropa,Zona Oeste,0,1,Tarjeta,500
Producto_22,Tienda_9,2022-12-13,2,327.34,Ropa,Zona Norte,1,1,Efectivo,5
Producto_34,Tienda_3,2023-10-17,59,93.58,Ropa,Zona Norte,1,0,Crédito,300
Producto_43,Tienda_9,2023-12-03,73,149.35,Alimentos,Zona Sur,1,1,Efectivo,100
Producto_11,Tienda_6,2023-07-22,48,452.88,Electrónica,Zona Sur,1,1,Efectivo,200
Producto_25,Tienda_3,2023-04-17,23,473.51,Electrónica,Zona Oeste,0,0,Crédito,100
Producto_35,Tienda_6,2022-07-30,46,356.46,Deportes,Zona Norte,0,1,Tarjeta,100
Producto_46,Tienda_3,2023-01-12,47,207.17,Electrónica,Zona Norte,0,1,Tarjeta,20
Producto_39,Tienda_4,2023-08-30,14,217.98,Electrónica,Zona Norte,1,0,Efectivo,200
Producto_26,Tienda_10,2022-11-25,54,107.22,Alimentos,Zona Este,1,0,Efectivo,500
Producto_14,Tienda_3,2023-12-09,30,456.51,Alimentos,Zona Oeste,1,0,Efectivo,20
Producto_29,Tienda_3,2022-10-20,8,468.13,Electrónica,Zona Norte,1,0,Tarjeta,50
Producto_49,Tienda_8,2022-09-27,89,469.11,Hogar,Zona Este,1,1,Efectivo,50
Producto_9,Tienda_8,2022-05-10,70,12.5,Hogar,Zona Sur,1,0,Crédito,20
Producto_24,Tienda_7,2023-09-11,39,335.55,Juguetes,Zona Sur,0,1,Efectivo,200
Producto_16,Tienda_4,2022-12-15,26,175.1,Hogar,Zona Oeste,1,1,Tarjeta,300
Producto_34,Tienda_6,2022-05-13,74,97.49,Juguetes,Zona Norte,1,1,Tarjeta,500
Producto_14,Tienda_9,2023-03-09,18,194.91,Alimentos,Zona Este,0,1,Efectivo,5
Producto_37,Tienda_1,2022-09-15,14,210.39,Hogar,Zona Oeste,1,1,Tarjeta,30
Producto_37,Tienda_10,2022-10-07,42,143.91,Alimentos,Zona Oeste,1,0,Crédito,10
Producto_26,Tienda_1,2022-06-17,60,489.55,Alimentos,Zona Este,0,0,Efectivo,50
Producto_27,Tienda_10,2022-10-04,5,90.56,Electrónica,Zona Norte,0,0,Crédito,5
Producto_29,Tienda_9,2023-12-08,10,321.11,Juguetes,Zona Norte,0,0,Efectivo,10
Producto_2,Tienda_7,2022-06-10,78,445.87,Ropa,Zona Oeste,1,1,Crédito,200
Producto_8,Tienda_10,2023-12-18,59,395.24,Deportes,Zona Sur,1,0,Tarjeta,500
Producto_30,Tienda_3,2022-10-25,60,456.39,Electrónica,Zona Oeste,1,1,Crédito,500
Producto_50,Tienda_3,2023-05-30,24,28.12,Alimentos,Zona Oeste,0,1,Tarjeta,200
Producto_29,Tienda_2,2022-04-05,32,411.55,Ropa,Zona Sur,0,1,Crédito,50
Producto_49,Tienda_10,2022-11-22,68,486.03,Hogar,Zona Este,0,0,Tarjeta,30
Producto_16,Tienda_2,2022-05-02,31,78.76,Juguetes,Zona Sur,0,1,Efectivo,10
Producto_38,Tienda_2,2023-12-05,80,323.49,Hogar,Zona Norte,0,0,Efectivo,200
Producto_33,Tienda_9,2023-08-27,90,383.93,Alimentos,Zona Norte,0,0,Crédito,20
Producto_34,Tienda_8,2022-11-06,60,74.14,Hogar,Zona Oeste,0,1,Efectivo,300
Producto_11,Tienda_10,2022-10-15,13,84.71,Electrónica,Zona Este,0,0,Tarjeta,300
Producto_34,Tienda_3,2023-01-31,51,42.71,Ropa,Zona Oeste,1,1,Tarjeta,100
Producto_50,Tienda_10,2022-10-12,84,141.49,Alimentos,Zona Sur,0,1,Tarjeta,10
Producto_7,Tienda_10,2023-06-27,98,357.62,Electrónica,Zona Sur,1,1,Tarjeta,500
Producto_34,Tienda_3,2022-11-21,56,267.11,Deportes,Zona Este,0,0,Efectivo,200
Producto_10,Tienda_4,2023-12-01,64,489.95,Hogar,Zona Oeste,0,1,Tarjeta,20
Producto_1,Tienda_9,2022-05-05,61,124.14,Alimentos,Zona Este,1,1,Crédito,30
Producto_17,Tienda_10,2022-08-01,5,29.79,Deportes,Zona Sur,1,0,Efectivo,50
Producto_2,Tienda_5,2023-12-09,72,447.32,Hogar,Zona Oeste,1,0,Tarjeta,30
Producto_37,Tienda_5,2022-10-15,47,159.83,Ropa,Zona Este,1,0,Tarjeta,5
Producto_7,Tienda_9,2023-09-08,90,215.94,Electrónica,Zona Oeste,0,1,Efectivo,100
Producto_42,Tienda_8,2022-06-15,53,275.9,Hogar,Zona Este,0,0,Crédito,20
Producto_22,Tienda_10,2022-06-24,45,76.38,Ropa,Zona Sur,0,1,Tarjeta,5
Producto_48,Tienda_7,2022-01-27,27,188.46,Deportes,Zona Norte,0,0,Tarjeta,50
Producto_24,Tienda_1,2023-08-22,43,376.96,Juguetes,Zona Norte,1,1,Tarjeta,200
Producto_24,Tienda_1,2022-02-19,83,454.15,Electrónica,Zona Oeste,1,1,Efectivo,300
Producto_35,Tienda_6,2023-06-17,98,128.3,Juguetes,Zona Oeste,1,1,Crédito,100
Producto_19,Tienda_9,2023-05-22,89,88.62,Alimentos,Zona Este,1,0,Tarjeta,50
Producto_49,Tienda_3,2022-06-16,35,339.16,Alimentos,Zona Norte,0,1,Crédito,10
Producto_37,Tienda_1,2023-08-26,87,358.38,Electrónica,Zona Norte,1,1,Crédito,20
Producto_45,Tienda_9,2022-02-20,41,250.16,Ropa,Zona Este,0,1,Tarjeta,200
Producto_20,Tienda_6,2023-08-01,70,213.04,Electrónica,Zona Oeste,0,0,Efectivo,20
Producto_3,Tienda_3,2022-11-12,76,480.4,Deportes,Zona Este,1,0,Tarjeta,500
Producto_35,Tienda_1,2022-05-08,4,35.08,Deportes,Zona Sur,0,0,Efectivo,200
Producto_33,Tienda_8,2023-11-03,95,244.68,Hogar,Zona Este,1,0,Tarjeta,5
Producto_47,Tienda_1,2023-11-20,19,318.19,Ropa,Zona Este,1,1,Efectivo,500
Producto_11,Tienda_9,2022-03-04,98,485.53,Electrónica,Zona Este,0,1,Tarjeta,10
Producto_48,Tienda_10,2022-09-06,55,173.79,Hogar,Zona Este,1,0,Efectivo,50
Producto_14,Tienda_4,2022-03-25,71,477.7,Electrónica,Zona Este,1,0,Efectivo,10
Producto_22,Tienda_2,2022-08-10,57,393.63,Electrónica,Zona Oeste,1,1,Efectivo,50
Producto_39,Tienda_2,2022-07-20,100,156.68,Juguetes,Zona Norte,1,1,Tarjeta,5
Producto_26,Tienda_2,2022-03-25,18,493.48,Hogar,Zona Este,0,1,Tarjeta,500
Producto_1,Tienda_6,2022-06-22,95,250.9,Deportes,Zona Este,0,0,Efectivo,50
Producto_48,Tienda_10,2023-06-01,21,90.18,Juguetes,Zona Norte,0,0,Tarjeta,50
Producto_40,Tienda_7,2023-04-23,25,229.4,Juguetes,Zona Oeste,1,0,Crédito,200
Producto_17,Tienda_9,2023-08-07,61,33.44,Ropa,Zona Oeste,0,0,Crédito,30
Producto_28,Tienda_9,2023-02-26,47,17.45,Juguetes,Zona Norte,1,1,Tarjeta,20
Producto_40,Tienda_10,2023-07-27,79,280.71,Hogar,Zona Norte,0,1,Crédito,50
Producto_4,Tienda_8,2023-10-03,53,33.47,Deportes,Zona Oeste,1,1,Tarjeta,10
Producto_38,Tienda_6,2023-09-12,89,114.05,Ropa,Zona Norte,1,1,Efectivo,30
Producto_31,Tienda_2,2022-10-02,16,11.44,Deportes,Zona Oeste,1,0,Crédito,200
Producto_26,Tienda_10,2022-10-29,63,387.25,Ropa,Zona Oeste,0,1,Crédito,30
Producto_3,Tienda_5,2023-05-14,88,86.69,Hogar,Zona Este,1,0,Tarjeta,30
Producto_40,Tienda_10,2023-12-26,99,144.4,Alimentos,Zona Este,0,0,Crédito,100
Producto_18,Tienda_6,2023-05-03,88,496.95,Ropa,Zona Sur,0,0,Efectivo,200
Producto_8,Tienda_10,2023-02-13,49,110.64,Electrónica,Zona Sur,0,0,Tarjeta,500
Producto_38,Tienda_7,2022-01-11,80,292.11,Deportes,Zona Este,1,1,Tarjeta,5
Producto_32,Tienda_8,2023-11-02,24,309.72,Deportes,Zona Oeste,0,0,Efectivo,300
Producto_17,Tienda_5,2022-06-13,10,317.8,Juguetes,Zona Norte,1,0,Crédito,50
Producto_47,Tienda_10,2022-11-22,46,278.72,Ropa,Zona Norte,1,0,Efectivo,20
Producto_33,Tienda_9,2022-03-15,41,289.23,Juguetes,Zona Oeste,1,1,Crédito,30
Producto_46,Tienda_2,2023-01-01,89,488.11,Deportes,Zona Norte,1,0,Efectivo,30
Producto_28,Tienda_2,2022-01-17,77,218.43,Juguetes,Zona Norte,0,0,Tarjeta,10
Producto_20,Tienda_8,2023-01-30,9,305.65,Deportes,Zona Norte,1,0,Crédito,20
Producto_37,Tienda_2,2022-07-06,32,128.07,Electrónica,Zona Norte,1,0,Efectivo,300
Producto_11,Tienda_9,2023-09-07,88,474.92,Hogar,Zona Oeste,1,1,Tarjeta,10
Producto_32,Tienda_6,2022-12-30,87,374.46,Hogar,Zona Sur,1,1,Efectivo,5
Producto_13,Tienda_4,2023-08-03,75,45.74,Hogar,Zona Norte,1,1,Efectivo,50
Producto_14,Tienda_1,2023-01-08,51,410.29,Electrónica,Zona Este,0,1,Crédito,100
Producto_9,Tienda_5,2022-07-18,57,428.19,Hogar,Zona Sur,1,1,Tarjeta,5
Producto_24,Tienda_3,2023-07-31,36,428.54,Deportes,Zona Oeste,0,0,Efectivo,300
Producto_11,Tienda_4,2022-05-10,96,100.7,Alimentos,Zona Oeste,1,0,Efectivo,5
Producto_32,Tienda_3,2022-08-26,71,148.84,Deportes,Zona Sur,1,1,Crédito,20
Producto_32,Tienda_5,2022-02-09,98,366.2,Electrónica,Zona Sur,0,1,Efectivo,10
Producto_17,Tienda_6,2023-11-07,2,147.85,Ropa,Zona Oeste,1,1,Crédito,50
Producto_40,Tienda_1,2022-03-26,41,308.79,Hogar,Zona Sur,0,1,Tarjeta,5
Producto_41,Tienda_2,2023-08-12,33,432.74,Juguetes,Zona Sur,0,1,Tarjeta,5
Producto_11,Tienda_8,2022-10-31,90,418.26,Hogar,Zona Sur,0,1,Tarjeta,500
Producto_12,Tienda_8,2022-02-18,66,390.45,Hogar,Zona Este,0,1,Efectivo,200
Producto_37,Tienda_5,2023-04-28,63,272.35,Juguetes,Zona Oeste,0,1,Tarjeta,10
Producto_39,Tienda_8,2023-12-13,9,279.6,Electrónica,Zona Este,1,0,Tarjeta,10
Producto_33,Tienda_6,2022-05-01,81,243.65,Alimentos,Zona Norte,1,1,Efectivo,200
Producto_27,Tienda_1,2022-04-22,32,491.8,Alimentos,Zona Oeste,1,1,Crédito,50
Producto_8,Tienda_3,2023-06-12,22,290.04,Juguetes,Zona Oeste,1,0,Efectivo,300
Producto_38,Tienda_6,2023-07-27,1,411.58,Ropa,Zona Este,0,0,Crédito,20
Producto_14,Tienda_1,2022-11-05,40,67.8,Hogar,Zona Sur,0,1,Tarjeta,20
Producto_50,Tienda_10,2023-12-03,20,464.95,Juguetes,Zona Sur,0,0,Tarjeta,100
Producto_46,Tienda_1,2022-01-20,42,367.98,Electrónica,Zona Norte,0,1,Tarjeta,500
Producto_26,Tienda_6,2022-12-14,73,115.79,Alimentos,Zona Este,1,1,Efectivo,20
Producto_7,Tienda_9,2023-12-17,57,6.73,Ropa,Zona Este,1,1,Tarjeta,50
Producto_34,Tienda_7,2023-07-12,28,29.28,Electrónica,Zona Sur,0,1,Tarjeta,200
Producto_7,Tienda_2,2022-05-01,27,431.97,Alimentos,Zona Este,0,1,Tarjeta,500
Producto_50,Tienda_1,2022-10-23,55,107.86,Ropa,Zona Oeste,1,1,Efectivo,5
Producto_13,Tienda_9,2023-05-28,86,356.99,Deportes,Zona Este,1,1,Tarjeta,30
Producto_13,Tienda_7,2023-07-23,83,171.85,Hogar,Zona Este,0,0,Tarjeta,10
Producto_22,Tienda_4,2023-11-06,73,206.16,Alimentos,Zona Este,0,0,Tarjeta,10
Producto_47,Tienda_10,2023-04-23,50,315.43,Electrónica,Zona Sur,1,0,Efectivo,50
Producto_11,Tienda_7,2022-04-30,29,235.04,Ropa,Zona Este,0,0,Efectivo,100
Producto_27,Tienda_5,2022-10-29,63,265.33,Alimentos,Zona Oeste,0,0,Crédito,500
Producto_1,Tienda_8,2022-05-16,93,12.98,Ropa,Zona Oeste,1,1,Tarjeta,100
Producto_22,Tienda_8,2023-06-06,3,257.28,Electrónica,Zona Oeste,1,1,Efectivo,20
Producto_38,Tienda_5,2023-10-18,78,8.94,Alimentos,Zona Este,0,1,Crédito,30
Producto_34,Tienda_10,2022-07-17,27,437.36,Hogar,Zona Norte,1,0,Tarjeta,30
Producto_24,Tienda_4,2022-02-24,51,44.82,Ropa,Zona Sur,0,0,Tarjeta,20
Producto_2,Tienda_7,2022-12-04,22,260.77,Electrónica,Zona Este,0,0,Efectivo,10
Producto_18,Tienda_6,2022-02-17,23,485.26,Electrónica,Zona Norte,0,1,Tarjeta,50
Producto_24,Tienda_7,2023-03-12,91,204.41,Electrónica,Zona Oeste,0,0,Efectivo,100
